ProductID,ProductName,Category,SalesAmount,UnitsSold,Rating,Quarter,Month
P001,Ultra HD 4K Smart TV,Electronics,72000,48,4.6,Q1,January
P002,Designer Italian Leather Jacket,Fashion,45000,62,4.2,Q1,February
P003,French Door Smart Refrigerator,Home Appliances,88000,31,4.7,Q1,March
P004,Organic Arabica Coffee Hamper,Grocery,32000,140,4.5,Q2,April
P005,Pro Running Carbon Fiber Shoes,Footwear,95000,55,4.8,Q2,May
P006,Active Noise-Cancelling Headphones,Electronics,51000,92,4.4,Q2,June
P007,Pure Cashmere Winter Coat,Fashion,28000,38,4.1,Q3,July
P008,Front-Load Inverter Washing Machine,Home Appliances,67000,44,4.5,Q3,August
P009,Artisanal Olive Oil Gourmet Box,Grocery,41000,115,4.3,Q3,September
P010,Orthopedic Ergonomic Leather Shoes,Footwear,79000,51,4.6,Q4,October
P011,Curved Ultrawide Gaming Monitor,Electronics,56000,64,4.7,Q4,November
P012,Handcrafted Silk Evening Saree,Fashion,34000,49,4.3,Q4,December
P013,Built-In Convection Oven & Grill,Home Appliances,91000,27,4.9,Q1,January
P014,Imported Belgian Chocolate Assortment,Grocery,47000,130,4.6,Q2,May
P015,Trail Running All-Weather Boots,Footwear,62000,58,4.4,Q3,August
P016,Wireless Ergonomic Mechanical Keyboard,Electronics,38000,85,4.5,Q1,March
P017,Tailored Woolen Business Suit,Fashion,84000,33,4.8,Q4,November
P018,Intelligent Robotic Vacuum Cleaner,Home Appliances,53000,68,4.3,Q2,June
P019,Organic Superfood Breakfast Cereal,Grocery,29000,160,4.2,Q3,July
P020,Waterproof Trekking Hiking Boots,Footwear,76000,46,4.7,Q4,October
P021,Next-Gen Flagship Smartphone 256GB,Electronics,98000,75,4.9,Q1,February
P022,Premium Slim-Fit Denim Jeans,Fashion,39000,82,4.1,Q2,April
P023,Countertop Digital Air Fryer XL,Home Appliances,42000,95,4.6,Q3,September
P024,Gluten-Free Almond & Seed Flour,Grocery,24000,180,4.4,Q4,December
P025,Memory Foam Lightweight Sneakers,Footwear,58000,70,4.5,Q1,January
