LearnerID,StudyHours,QuizScore,AssignmentScore,AttendanceRate,InteractionCount,CourseCompletion,Log_StudyHours,QuizCategory,CLEI_Score,PredictedCompletionProb,RiskTier,PrescriptiveAction
STU-1001,16.5,43.4,55.2,85.5,47,1,2.8622,Needs Support,46.44,0.4611,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1002,11.7,49.4,57.4,89.6,35,1,2.5416,Needs Support,44.7,0.4182,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1003,11.1,45.5,53.6,80.6,46,1,2.4932,Needs Support,39.5,0.2994,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1004,11.1,33.8,43.3,71.2,35,0,2.4932,Needs Support,26.05,0.1002,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1005,27.6,60.6,56.1,93.2,70,1,3.3534,Progressing,73.15,0.9252,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1006,19.0,52.0,43.2,72.0,56,1,2.9957,Needs Support,45.69,0.4425,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1007,9.6,41.7,58.8,76.2,41,0,2.3609,Needs Support,32.7,0.178,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1008,16.9,68.1,65.6,87.1,50,1,2.8848,Progressing,58.79,0.7463,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1009,14.5,64.8,65.7,93.4,48,1,2.7408,Progressing,58.93,0.7489,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1010,3.3,48.6,56.8,94.5,33,1,1.4586,Needs Support,40.03,0.3107,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1011,6.7,31.4,47.3,77.0,26,0,2.0412,Needs Support,22.94,0.0754,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1012,15.0,47.9,71.9,93.5,30,1,2.7726,Needs Support,48.08,0.502,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1013,26.2,50.6,56.8,81.0,69,1,3.3032,Needs Support,59.87,0.7662,Low Risk (On Track for Distinction),Enroll in Remedial Problem-Solving Labs
STU-1014,11.1,46.3,48.5,82.5,38,1,2.4932,Needs Support,39.13,0.2917,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1015,9.2,18.8,36.1,78.7,30,0,2.3224,Needs Support,21.79,0.0678,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1016,13.5,47.0,62.4,92.8,40,1,2.6741,Needs Support,48.4,0.51,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1017,8.9,31.6,34.3,62.8,25,0,2.2925,Needs Support,15.62,0.0378,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs | Mandatory mentor check-in for attendance remediation
STU-1018,10.7,28.9,46.1,75.9,34,0,2.4596,Needs Support,26.42,0.1036,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1019,12.6,56.4,47.0,93.5,54,1,2.6101,Progressing,55.35,0.6759,Moderate Risk (Needs Monitoring),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1020,6.5,32.2,45.2,87.1,24,0,2.0149,Needs Support,29.02,0.1303,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1021,19.5,60.4,67.9,97.0,49,1,3.0204,Progressing,63.76,0.8286,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1022,5.8,64.7,72.0,91.5,17,1,1.9169,Progressing,43.1,0.3799,High Risk (Critical Intervention),Increase weekly active study time by 3.5 hrs | Participate in peer discussion forum threads
STU-1023,5.4,24.1,34.8,78.9,27,0,1.8563,Needs Support,20.26,0.0587,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1024,14.1,49.5,47.8,91.5,49,1,2.7147,Needs Support,51.26,0.5808,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1025,18.7,52.3,56.8,92.1,39,1,2.9806,Needs Support,54.24,0.6511,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1026,13.9,37.8,37.2,71.7,39,0,2.7014,Needs Support,31.31,0.1586,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1027,11.9,49.6,51.6,79.1,36,1,2.5572,Needs Support,38.54,0.2797,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1028,10.6,49.6,51.1,75.3,40,1,2.451,Needs Support,36.01,0.2317,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1029,9.7,53.7,52.0,94.5,40,1,2.3702,Needs Support,49.12,0.528,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1030,21.8,55.0,66.4,97.4,61,1,3.1268,Progressing,66.53,0.8645,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1031,15.1,73.5,69.8,97.2,36,1,2.7788,Progressing,62.6,0.8115,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1032,10.1,25.1,44.6,73.0,32,0,2.4069,Needs Support,22.02,0.0693,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1033,8.4,35.3,37.3,87.9,33,0,2.2407,Needs Support,34.53,0.2064,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1034,17.5,57.5,56.5,96.7,56,1,2.9178,Progressing,62.37,0.808,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1035,21.5,53.3,57.0,77.8,58,1,3.1135,Needs Support,52.45,0.6094,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1036,20.5,60.6,57.2,90.6,64,1,3.0681,Progressing,64.19,0.8347,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1037,7.6,49.1,48.8,72.2,28,0,2.1518,Needs Support,28.49,0.1244,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs | Mandatory mentor check-in for attendance remediation
STU-1038,10.6,44.0,52.1,86.0,47,1,2.451,Needs Support,42.11,0.3569,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1039,9.6,44.5,52.9,84.9,35,1,2.3609,Needs Support,37.94,0.2678,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1040,11.4,39.8,44.9,83.0,37,1,2.5177,Needs Support,36.75,0.2451,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1041,19.4,59.5,61.6,88.4,61,1,3.0155,Progressing,60.72,0.7811,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1042,25.0,55.1,51.4,81.6,70,1,3.2581,Progressing,61.36,0.7918,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1043,15.4,48.7,59.8,89.6,47,1,2.7973,Needs Support,50.33,0.558,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1044,8.6,47.7,53.6,86.9,25,1,2.2618,Needs Support,37.33,0.256,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1045,12.4,44.8,44.4,60.3,38,0,2.5953,Needs Support,25.53,0.0956,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1046,27.4,43.1,66.2,83.4,72,1,3.3464,Needs Support,59.97,0.768,Low Risk (On Track for Distinction),Enroll in Remedial Problem-Solving Labs
STU-1047,13.3,52.8,51.8,91.6,39,1,2.6603,Needs Support,49.66,0.5414,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1048,10.7,44.4,61.9,89.6,43,1,2.4596,Needs Support,43.69,0.3939,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1049,11.2,55.0,43.3,90.6,41,1,2.5014,Progressing,48.68,0.517,Moderate Risk (Needs Monitoring),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1050,15.4,49.2,43.5,89.6,48,1,2.7973,Needs Support,50.77,0.5688,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1051,7.7,49.7,45.1,79.1,30,1,2.1633,Needs Support,33.67,0.1926,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
